created_date,bsi_score,cds_data,stock_price,Same-Day Correlation,Next-Day Correlation,7-Day Lagged Correlation,14-Day Lagged Correlation,30-Day Lagged Correlation,
2020-05-08,33,105,27.9632,,,,,,
2020-05-11,33,105,27.7456,,,,,,
2020-05-12,33,103,27.7929,,,,,,
2020-05-13,33,104,27.2064,,,,,,
2020-05-14,33,107,27.2443,,,,,,
2020-05-15,33,109,27.6227,,,,,,
2020-05-18,33,104,29.2024,,,,,,
2020-05-19,32,105,28.2943,,,,,,
2020-05-20,32,106,28.6065,,,,,,
2020-05-21,32,106,28.1051,,,,,,
2020-05-22,32,106,28.3321,,,,,,
2020-05-26,32,101,28.5828,,,,,,
2020-05-27,32,92,29.3538,,,,,,
2020-05-28,32,100,29.1238,,,,,,
2020-05-29,32,97,29.2005,,,,,,
2020-06-01,32,100,29.1573,,,,,,
2020-06-02,31,103,30.1205,,,,,,
2020-06-03,30,98,30.0055,,,,,,
2020-06-04,30,103,30.178,,,,,,
2020-06-05,30,95,31.2609,,,,,,
2020-06-08,30,95,32.5546,,,,,,
2020-06-09,30,103,31.7209,,,,,,
2020-06-10,30,108,31.1459,,,,,,
2020-06-11,30,110,29.8809,,,,,,
2020-06-12,30,105,30.475,,,,,,
2020-06-15,29,105,30.7817,,,,,,
2020-06-16,29,95,31.3663,,,,,,
2020-06-17,29,95,31.4334,,,,,,
2020-06-18,29,100,31.7976,,,,,,
2020-06-19,29,100,32.0851,,,,,,
2020-06-22,29,100,31.7688,,,,,,
2020-06-23,29,100,31.0501,,,,,,
2020-06-24,29,105,30.7913,,,,,,
2020-06-25,30,110,30.5517,,,,,,
2020-06-26,30,118,29.6126,,,,,,
2020-06-29,30,110,30.3217,,,,,,
2020-06-30,30,112,30.5613,,,,,,
2020-07-01,30,112,30.3505,,,,,,
2020-07-02,30,112,30.4846,,,,,,
2020-07-06,30,105,30.6667,,,,,,
2020-07-07,30,105,30.7146,,,,,,
2020-07-08,30,105,30.5326,,,,,,
2020-07-09,30,115,30.063,,,,,,
2020-07-10,30,120,30.9351,,,,,,
2020-07-13,31,110,31.1555,,,,,,
2020-07-14,31,110,31.9221,,,,,,
2020-07-15,32,105,31.7688,,,,,,
2020-07-16,31,105,32.9667,,,,,,
2020-07-17,31,105,33.5513,,,,,,
2020-07-20,31,105,32.6984,,,,,,
2020-07-21,31,100,33.0913,,,,,,
2020-07-22,32,114,33.4459,,,,,,
2020-07-23,32,114,33.4076,,,,,,
2020-07-24,32,115,33.2351,,,,,,
2020-07-27,32,108,33.3884,,,,,,
2020-07-28,31,108,33.7813,,,,,,
2020-07-29,31,108,34.088,,,,,,
2020-07-30,32,106,32.9571,,,,,,
2020-07-31,32,108,32.9476,,,,,,
2020-08-03,31,108,33.3405,,,,,,
2020-08-04,31,105,33.6184,,,,,,
2020-08-05,30,105,33.3309,,,,,,
2020-08-06,31,105,33.8101,,,,,,
2020-08-07,31,105,33.9346,,,,,,
2020-08-10,31,103,33.3405,,,,,,
2020-08-11,30,103,33.1871,,,,,,
2020-08-12,30,103,33.858,,,,,,
2020-08-13,31,103,34.088,,,,,,
2020-08-14,31,103,34.1071,,,,,,
2020-08-17,31,105,34.433,,,,,,
2020-08-18,31,103,34.1742,,,,,,
2020-08-19,30,103,33.9538,,,,,,
2020-08-20,30,100,33.398,,,,,,
2020-08-21,30,103,33.1201,,,,,,
2020-08-24,30,97,33.628,,,,,,
2020-08-25,30,97,33.8963,,,,,,
2020-08-26,30,97,33.8388,,,,,,
2020-08-27,30,96,33.6934,,,,,,
2020-08-28,31,97,33.8097,,,,,,
2020-08-31,31,97,33.9648,,,,,,
2020-09-01,31,94,33.0924,,,,,,
2020-09-02,32,91,33.6449,,,,,,
2020-09-03,32,91,32.5205,,,,,,
2020-09-04,32,82,32.443,,,,,,
2020-09-08,31,90,30.7855,,,,,,
2020-09-09,31,90,30.6788,,,,,,
2020-09-10,31,90,30.5431,,,,,,
2020-09-11,31,90,30.737,,,,,,
2020-09-14,31,90,30.8921,,,,,,
2020-09-15,31,82,30.989,,,,,,
2020-09-16,31,85,30.3977,,,,,,
2020-09-17,31,85,29.6998,,,,,,
2020-09-18,31,85,28.8274,,,,,,
2020-09-21,31,103,28.7402,,,,,,
2020-09-22,31,103,28.3331,,,,,,
2020-09-23,31,100,27.8872,,,,,,
2020-09-24,31,110,27.9551,,,,,,
2020-09-25,31,110,28.2362,,,,,,
2020-09-28,31,110,28.9147,,,,,,
2020-09-29,31,110,28.682,,,,,,
2020-09-30,31,110,29.031,,,,,,
2020-10-01,31,110,29.4381,,,,,,
2020-10-02,31,103,29.535,,,,,,
2020-10-05,31,100,30.0488,,,,,,
2020-10-06,31,88,29.7289,,,,,,
2020-10-07,31,85,29.8937,,,,,,
2020-10-08,31,85,30.262,,,,,,
2020-10-09,31,80,30.1554,,,,,,
2020-10-13,31,75,31.4155,,,,,,
2020-10-14,31,75,31.1635,,,,,,
2020-10-15,31,75,31.3089,,,,,,
2020-10-16,31,75,31.1732,,,,,,
2020-10-19,31,75,30.7758,,,,,,
2020-10-20,31,80,31.0084,,,,,,
2020-10-21,31,83,30.4753,,,,,,
2020-10-22,30,85,30.2717,,,,,,
2020-10-23,30,85,30.4074,,,,,,
2020-10-26,30,93,29.6417,,,,,,
2020-10-27,30,94,29.7386,,,,,,
2020-10-28,31,98,28.3234,,,,,,
2020-10-29,31,95,29.1182,,,,,,
2020-10-30,31,95,29.6514,,,,,,
2020-11-02,31,102,30.6982,,,,,,
2020-11-03,31,99,30.8048,,,,,,
2020-11-04,31,95,30.8436,,,,,,
2020-11-05,32,90,30.7273,,,,,,
2020-11-06,32,90,30.5722,,,,,,
2020-11-09,32,80,29.6804,,,,,,
2020-11-10,32,83,29.5447,,,,,,
2020-11-11,32,83,30.388,,,,,,
2020-11-12,32,80,30.1457,,,,,,
2020-11-13,32,83,30.6401,,,,,,
2020-11-16,32,80,31.1635,,,,,,
2020-11-17,32,85,30.6207,,,,,,
2020-11-18,32,88,30.6595,,,,,,
2020-11-19,32,90,30.9018,,,,,,
2020-11-20,32,90,31.2701,,,,,,
2020-11-23,32,90,31.5997,,,,,,
2020-11-24,32,90,32.792,,,,,,
2020-11-25,32,90,31.9189,,,,,,
2020-11-27,32,90,32.2132,,,,,,
2020-11-30,32,90,32.3113,,,,,,
2020-12-01,32,88,32.5075,,,,,,
2020-12-02,32,88,32.1544,,,,,,
2020-12-03,32,90,32.8116,,,,,,
2020-12-04,32,90,33.4688,,,,,,
2020-12-07,31,90,32.9587,,,,,,
2020-12-08,31,90,33.6846,,,,,,
2020-12-09,31,93,33.5669,,,,,,
2020-12-10,31,95,33.4492,,,,,,
